x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1.6518
20.618,22.584,24.775,22.315,29.487,24.042,27.03,22.342,20.124,23.759,24.356,27.535,27.706,28.627,27.241,20.878,1.2538
27.892,25.969,23.784,26.717,25.114,27.647,28.991,20.253,25.771,28.397,24.027,23.271,20.743,27.336,27.741,29.12,1.2493
27.213,23.885,24.873,28.049,21.527,24.833,21.363,20.032,25.521,20.815,23.906,26.189,26.71,23.179,27.819,27.236,1.2545
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1.0381
27.088,24.422,29.301,29.241,24.067,25.506,26.076,23.463,21.92,20.374,25.916,28.774,20.482,21.77,26.076,27.526,1.2773
22.018,21.915,24.233,21.065,27.622,20.089,22.324,27.98,22.416,20.934,21.66,26.986,22.294,27.734,24.394,20.689,1.3667
22.323,26.087,26.73,26.385,27.298,23.989,28.558,20.112,23.218,26.398,25.351,25.703,28.917,26.536,27.197,21.542,1.2178
22.167,24.384,27.976,24.884,21.366,23.675,22.906,26.069,26.577,24.814,22.511,28.984,28.378,25.118,23.746,22.372,1.2131
27.273,27.538,27.306,24.07,24.473,28.985,20.608,24.641,28.002,27.639,28.363,21.53,24.373,23.266,27.665,20.773,1.2642
22.881,20.937,27.732,24.689,26.143,25.113,27.397,23.229,28.696,29.166,27.357,27.977,29.602,25.755,21.202,22.28,1.2419
27.584,23.896,23.392,26.839,22.913,21.933,22.673,27.826,28.962,25.23,23.194,27.787,25.522,21.965,21.461,25.006,1.2557
25.722,24.083,26.544,21.182,28.706,27.848,27.678,29.906,28.914,26.467,22.769,22.052,29.795,23.338,28.147,27.641,1.2633
24.905,22.635,28.16,20.897,20.249,21.712,29.568,28.322,25.67,22.597,27.63,27.448,21.884,22.096,29.197,22.81,1.3331
28.42,28.958,20.827,28.731,22.967,27.736,20.129,23.053,28.628,25.341,21.039,29.965,20.868,29.856,28.759,23.36,1.3356
25.364,29.367,25.919,21.12,20.753,25.999,21.903,23.351,28.832,24.759,26.477,20.941,27.716,20.561,26.397,29.971,1.3026
21.873,29.142,20.882,27.983,27.931,27.634,28.712,28.772,27.106,23.368,26.687,24.965,24.664,29.575,27.91,24.628,1.2319
22.764,26.28,21.808,25.401,27.003,24.088,20.664,20.959,24.887,22.416,24.487,22.157,27.969,21.295,21.314,24.335,1.3036
26.8,20.093,26.422,26.924,22.545,23.148,26.307,29.714,29.919,23.929,25.089,20.513,25.982,20.89,26.268,22.629,1.2673
26.644,27.68,28.764,26.624,23.675,26.251,24.364,27.855,27.953,29.598,20.976,28.401,25.126,27.184,21.553,20.252,1.2509
26.959,29.967,26.343,20.688,24.572,22.114,23.881,26.487,26.947,20.963,20.297,27.367,25.216,20.956,23.907,24.066,1.267
20.927,28.314,23.519,24.777,20.691,25.439,29.072,27.247,26.067,22.472,25.75,28.68,23.927,21.58,29.928,22.897,1.2761
27.694,23.473,20.717,21.012,21.454,26.469,25.594,29.677,20.901,28.637,21.398,25.75,28.463,28.193,21.13,23.938,1.318
29.45,21.624,24.822,27.268,29.192,22.819,22.228,28.91,21.095,24.654,29.734,20.641,28.592,28.463,22.662,29.232,1.3264
24.765,28.585,29.016,22.086,28.922,22.373,23.802,29.369,24.473,25.03,25.555,24.046,20.313,28.987,27.578,23.065,1.2332
27.019,20.667,28.095,26.565,20.423,20.743,23.911,20.514,23.846,29.671,27.902,20.855,26.982,27.05,22.6,22.142,1.33
27.538,25.691,23.712,29.342,21.828,21.866,28.418,27.279,26.286,27.242,26.035,22.484,26.333,25.977,23.366,21.81,1.2484
26.55,25.652,28.86,27.918,29.896,27.168,27.117,28.451,27.27,23.475,20.376,22.305,27.953,23.508,26.89,25.692,1.2515
29.837,22.944,28.304,20.588,23.612,24.9,24.175,26.687,20.52,21.02,22.639,29.256,29.263,24.033,23.802,21.002,1.2919
20.98,21.566,27.19,22.813,26.827,29.798,26.849,25.628,22.814,27.858,26.868,24.891,23.053,26.188,28.811,28.69,1.2318
29.516,21.774,25.633,25.99,20.156,29.868,20.526,21.248,23.036,28.074,28.502,29.864,29.634,21.504,20.979,27.868,1.3578
27.821,25.087,22.642,22.57,22.212,23.099,22.518,21.19,22.905,28.766,23.767,22.417,20.182,23.924,22.299,22.59,1.2744
29.935,23.117,21.38,29.653,20.041,25.178,21.699,28.843,23.09,20.086,24.104,23.673,29.373,28.078,21.342,25.6,1.3155
24.053,24.185,25.331,23.178,24.372,29.983,20.101,20.714,22.558,28.935,29.15,26.341,23.771,25.626,25.115,20.345,1.2607
22.233,24.656,23.857,29.392,28.751,23.767,20.776,26.251,26.49,29.9,28.909,23.531,24.481,20.762,25.844,23.267,1.2321
23.997,21.089,25.523,28.397,21.669,20.273,21.04,23.377,23.395,26.513,22.583,26.299,21.609,20.36,28.259,22.03,1.3491
28.727,28.781,21.013,25.198,21.958,26.939,24.109,23.92,25.15,21.175,28.059,25.649,27.394,28.715,23.833,23.007,1.2293
29.163,21.154,22.957,28.091,26.925,28.214,22.406,27.701,29.813,23.71,28.756,25.237,20.984,28.596,20.299,27.159,1.3039
29.958,29.758,23.23,20.335,25.509,21.613,21.809,21.89,24.526,20.613,28.201,20.265,20.923,27.808,28.98,29.296,1.3827
25.417,24.97,28.976,23.282,28.632,23.715,23.335,20.876,27.873,24.396,21.51,28.062,23.091,25.529,21.953,22.509,1.2568
22.954,23.749,25.784,27.545,27.43,23.884,26.206,24.258,22.184,20.558,26.779,22.842,21.583,22.339,23.461,22.481,1.2594
22.496,29.018,21.264,29.6,23.225,21.482,27.794,23.798,23.736,29.767,22.309,24.595,29.202,21.43,29.388,21.654,1.3097
22.856,21.317,29.232,25.901,28.309,20.151,27.872,21.306,23.937,27.286,22.731,29.495,26.298,23.632,27.276,21.485,1.2985
20.343,21.262,22.736,23.079,23.297,23.008,25.484,29.947,24.355,27.702,20.656,20.12,20.81,29.308,26.948,25.145,1.274
27.48,21.856,22.11,26.947,27.254,24.704,22.439,22.438,21.156,20.73,21.212,23.591,21.479,24.544,24.446,23.776,1.3094
24.082,23.599,28.456,23.601,23.531,24.44,26.519,27.468,23.336,25.964,20.166,27.761,21.283,26.418,28.493,26.276,1.1931
20.11,21.428,22.174,22.975,22.327,21.803,23.082,26.414,26.686,21.961,28.598,26.47,28.94,24.759,25.44,26.97,1.2384
21.413,22.111,27.094,22.785,27.376,22.301,27.229,29.471,22.754,28.302,21.454,25.969,22.788,29.247,20.875,21.432,1.3481
23.428,21.519,29.057,24.18,27.857,27.367,29.365,26.941,29.483,25.576,22.113,28.952,24.981,20.199,29.431,29.759,1.2418
21.097,27.293,23.69,29.76,28.082,28.247,25.618,21.968,21.732,21.764,24.188,29.557,23.577,20.318,29.119,21.767,1.3449
21.809,25.796,24.105,24.595,25.608,20.509,21.092,26.783,21.68,24.85,25.275,27.12,23.877,26.249,29.785,21.342,1.2655
21.93,29.492,20.148,27.633,23.075,21.548,27.363,27.425,22.004,25.107,21.943,20.403,22.265,26.072,26.011,24.726,1.3299
24.788,21.026,29.44,27.154,22.861,20.688,24.48,20.696,22.48,29.306,21.579,29.701,20.516,26.008,24.669,27.648,1.3102
20.194,29.053,27.886,28.688,29.689,21.047,20.285,23.171,20.17,26.875,25.128,24.316,24.059,23.494,28.866,29.405,1.3032
26.335,28.433,28.49,23.846,25.32,29.683,26.787,25.461,28.587,28.153,26.128,23.96,25.049,21.379,25.899,29.699,1.1882
24.346,29.852,24.672,22.242,23.733,20.511,22.972,22.002,20.211,22.148,23.448,29.112,26.911,24.614,20.488,23.598,1.2927
22.67,20.216,26.149,22.429,29.117,25.019,26.958,23.724,26.161,25.839,26.977,28.89,27.601,29.674,28.356,28.382,1.1879
29.724,23.03,24.984,25.702,24.617,28.657,20.057,25.85,20.478,20.4,25.538,28.439,21.161,23.874,24.091,21.112,1.28
20.758,24.263,26.624,23.017,21.637,23.201,23.191,22.673,24.112,22.785,22.464,26.598,25.663,23.09,26.356,20.298,1.2725
25.624,24.842,28.557,28.491,25.225,28.872,25.233,20.791,22.672,23.277,23.152,22.713,29.042,22.903,23.083,23.651,1.2537
