x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1.6518
29.018,23.395,21.668,26.985,22.49,25.464,22.059,24.453,27.932,26.436,24.646,28.339,27.359,24.213,29.274,26.993,1.1949
29.293,29.535,22.763,27.279,22.08,29.412,24.195,22.871,27.536,28.092,23.412,22.476,28.448,21.795,25.408,20.957,1.3328
29.078,21.97,22.197,22.162,23.119,27.393,20.585,25.158,21.592,29.446,21.386,25.665,27.788,23.552,24.422,29.158,1.2599
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1.0381
27.61,26.559,22.511,23.293,28.862,23.93,27.288,23.563,27.699,23.333,27.014,26.391,22.087,29.134,22.093,20.717,1.2725
22.437,25.802,20.669,23.055,21.443,23.235,25.084,26.737,25.787,25.803,25.961,27.878,24.982,27.648,28.406,25.641,1.1758
27.839,28.859,22.075,28.872,24.961,29.943,20.314,25.468,20.511,21.193,28.139,28.751,20.96,23.69,20.077,26.783,1.3359
24.172,27.58,27.445,28.024,23.785,27.864,29.002,27.619,25.018,29.743,28.172,24.483,24.798,28.804,22.791,26.571,1.2042
23.774,21.599,29.851,26.054,25.101,20.286,20.616,21.6,28.779,21.374,29.719,26.356,25.61,26.174,21.337,26.328,1.3071
27.109,28.294,27.102,28.01,27.389,22.925,20.459,21.24,28.537,29.107,23.073,29.019,25.733,25.806,24.481,22.89,1.2768
20.298,22.981,22.218,29.809,20.994,23.557,28.121,25.077,20.023,28.703,22.074,28.552,28.204,23.481,22.46,22.607,1.3006
23.717,24.515,29.219,21.146,20.76,22.785,20.171,27.377,24.644,21.071,24.808,25.719,26.425,25.771,25.448,26.348,1.2337
27.437,28.057,28.643,25.733,25.001,20.202,25.327,25.739,29.645,22.002,25.039,28.02,27.714,24.958,24.182,24.759,1.1783
29.852,23.216,26.116,28.637,29.292,27.537,27.145,24.334,23.85,20.153,21.411,29.155,20.701,25.319,28.135,25.915,1.2569
27.3,20.268,27.749,28.916,27.709,29.057,26.503,27.859,22.239,23.574,27.485,21.543,26.183,21.565,26.784,27.991,1.2885
21.882,24.712,20.233,26.255,26.043,22.255,29.37,29.318,20.187,25.684,28.606,22.536,28.245,26.491,21.631,29.745,1.3223
22.796,26.907,23.524,22.861,26.693,26.214,21.336,25.189,26.86,26.782,28.44,27.043,24.373,23.965,26.656,25.994,1.1659
26.907,26.965,29.426,23.878,24.925,27.546,25.183,20.05,24.552,20.79,22.625,29.212,26.84,28.419,25.734,22.42,1.2412
24.284,21.258,28.231,23.467,20.134,24.011,22.92,27.127,21.514,20.069,24.326,25.152,20.285,29.704,20.061,20.592,1.3516
23.932,24.444,23.987,20.918,28.952,26.026,21.542,29.908,27.758,26.079,26.008,26.066,28.891,29.951,25.921,28.928,1.1888
21.655,20.51,24.494,23.412,20.02,25.216,22.243,22.725,24.197,22.402,24.56,29.919,22.705,27.173,21.986,25.979,1.3096
25.864,27.639,20.165,28.2,20.165,24.322,22.625,26.28,23.083,22.046,25.742,28.368,27.534,21.85,25.391,27.637,1.2889
29.165,25.46,21.605,26.071,24.192,20.024,29.249,29.52,22.485,23.623,24.038,25.499,26.052,27.14,26.358,27.342,1.2235
28.93,22.589,23.574,22.741,23.67,20.897,21.981,24.645,25.551,24.008,24.927,21.16,21.071,25.355,24.912,24.274,1.2135
24.542,24.736,21.013,26.498,29.86,22.561,27.266,23.298,20.557,22.751,23.483,22.937,28.793,24.568,28.007,24.001,1.2547
21.263,21.887,25.691,24.767,21.631,29.713,24.591,23.791,23.548,29.063,27.741,28.887,26.306,27.001,23.371,22.972,1.2042
20.443,25.703,26.289,27.102,24.633,26.076,21.59,22.916,20.125,26.989,20.535,22.155,25.089,26.935,24.825,26.777,1.2859
22.279,20.485,28.411,21.466,28.003,24.401,20.853,26.179,29.979,24.718,29.439,25.282,27.003,22.527,26.902,24.963,1.2436
27.137,29.228,28.758,20.583,29.386,28.952,27.197,20.124,27.179,22.951,27.449,28.959,28.404,20.608,26.471,22.492,1.3195
23.631,23.14,28.815,26.633,27.022,26.866,20.088,25.268,23.976,27.627,22.997,21.601,27.251,29.604,25.975,28.701,1.2255
28.65,22.865,24.696,27.192,25.772,29.802,29.03,26.531,20.968,21.813,23.73,23.195,24.682,23.735,27.208,25.466,1.2246
29.423,25.95,22.376,27.454,29.727,24.419,21.133,29.942,29.432,20.701,27.12,26.57,26.36,24.931,22.924,25.221,1.2415
25.938,23.429,23.135,23.476,21.943,28.925,28.288,28.397,27.567,24.81,21.036,28.845,23.772,23.601,28.609,25.408,1.2195
21.231,28.822,28.272,25.755,27.314,20.452,26.586,24.246,26.177,20.92,23.133,27.261,27.429,22.999,26.52,20.497,1.3114
25.622,28.653,21.431,24.624,20.589,23.882,27.028,25.006,22.948,29.366,25.418,22.328,22.819,26.463,21.692,21.061,1.3092
25.871,28.978,24.93,25.19,22.416,24.146,29.917,22.594,27.107,27.732,20.068,21.033,22.499,24.241,29.451,28.618,1.2831
25.65,28.305,29.893,28.71,29.505,25.807,20.762,22.311,22.996,29.534,21.623,22.001,25.512,26.344,26.313,23.541,1.2824
21.295,24.5,21.08,27.764,29.23,23.67,27.224,23.136,26.824,23.739,29.017,29.028,29.114,25.698,27.27,21.996,1.2578
29.818,29.327,26.431,22.518,22.564,21.077,21.869,20.231,29.699,25.738,20.595,22.034,24.147,28.911,21.112,26.138,1.3596
29.342,21.021,20.067,28.757,20.465,21.78,20.826,28.905,29.574,26.588,22.974,27.89,25.812,25.946,24.732,28.105,1.3376
22.652,21.138,24.667,20.948,28.208,22.237,29.749,23.692,29.2,28.339,26.422,28.065,25.453,26.2,23.651,29.473,1.2383
27.663,24.687,25.185,25.873,21.285,21.048,20.926,29.537,22.383,24.274,23.915,28.787,29.069,25.534,27.686,20.514,1.2883
25.267,24.008,25.315,25.856,28.077,26.922,23.753,26.056,25.675,29.261,20.343,21.095,29.176,26.727,28.572,23.448,1.2078
24,24.999,25.059,24.989,29.922,29.718,22.567,21.415,28.752,27.278,28.419,25.178,29.134,22.224,24.955,28.284,1.2229
20.155,27.868,29.984,23.662,25.121,21.51,22.441,20.392,27.503,21.199,22.711,29.902,22.889,20.654,25.578,26.84,1.3718
25.582,24.224,21.06,22.069,23.541,25.285,25.634,23.841,24.366,24.417,20.354,22.684,23.265,21.468,20.258,26.948,1.2565
21.901,21.837,23.687,22.874,28.358,22.684,21.214,23.911,28.57,25.908,23.217,24.154,21.145,23.707,28.314,29.272,1.2494
29.611,27.005,26.988,25.545,23.18,28.603,27.965,27.795,27.386,22.358,26.605,21.181,20.344,24.439,28.425,25.455,1.2439
29.046,25.833,27.157,24.569,29.346,24.963,22.587,25.092,23.906,20.415,21.994,28.61,23.748,21.025,27.437,25.374,1.2693
20.784,28.798,28.545,20.044,20.19,27.936,22.956,27.337,26.197,27.778,22.475,20.28,25.787,28.18,23.981,21.871,1.3415
26.288,23.618,27.997,20.709,29.765,26.56,22.691,25.592,25.278,23.435,20.116,25.403,27.866,21.256,21.48,27.437,1.2998
20.932,26.385,23.215,22.781,22.94,23.994,24.737,23.677,27.837,29.404,26.672,29.964,27.733,26.715,28.521,28.238,1.1761
23.343,29.302,21.257,20.624,24.588,24.801,26.006,25.372,29.959,28.509,23.783,21.761,21.917,25.044,26.712,26.2,1.2591
22.377,24.771,25.147,28.531,27.415,26.162,24.417,29.622,21.184,25.769,22.359,23.34,29.327,20.041,29.031,22.824,1.2694
24.038,21.512,26.453,24.865,28.793,23.045,20.729,23.98,28.823,23.998,25.107,20.23,24.521,28.715,21.953,20.308,1.2706
27.455,27.207,23.658,29.404,25.968,27.693,29.566,26.27,22.199,29.585,28.361,22.058,24.011,22.996,29.122,23.922,1.2559
23.466,21.167,24.423,29.212,29.263,28.651,28.919,25.495,27.597,21.122,24.465,20.123,28.101,24.774,20.514,21.574,1.2923
24.441,21.772,25.04,23.84,21.6,22.631,23.883,20.712,23.603,22.711,24.494,29.194,27.471,25.905,21.25,23.491,1.2301
27.487,25.494,28.684,22.461,25.253,20.788,20.403,26.222,24.182,25.386,28.123,24.46,20.876,26.375,28.347,23.588,1.2287
25.435,24.874,29.535,23.016,22.981,20.869,29.28,24.571,23.936,29.004,24.581,25.612,29.513,29.873,24.621,29.888,1.1861
26.208,26.764,24.478,22.552,26.679,27.908,26.868,26.345,25.394,24.61,21.114,27.361,20.611,21.519,29.385,22.118,1.2506
25.297,21.523,20.836,21.556,24.025,23.824,23.667,28.743,29.785,20.596,23.376,26.884,22.254,27.816,29.792,26.171,1.2518
25.81,20.17,29.322,22.664,25.059,26.621,26.888,26.925,23.805,21.612,22.821,20.594,22.152,21.413,29.614,26.471,1.3186
23.3,28.681,22.141,26.44,29.813,25.601,28.743,25.997,25.475,28.527,27.611,26.288,26.947,28.018,29.513,20.617,1.1865
22.752,26.043,28.51,21.393,26.508,21.188,23.267,20.157,20.572,20.96,27.295,26.649,22.316,25.278,27.4,20.206,1.3558
29.67,23.499,25.235,29.048,21.024,29.194,29.815,28.983,23.327,24.988,27.883,20.728,23.439,27.27,25.842,25.098,1.26
22.14,28.629,22.264,27.953,25.046,20.568,26.051,20.436,27.283,26.67,29.075,27.616,20.194,27.207,20.211,26.645,1.2905
20.278,29.78,24.191,27.838,24.088,26.572,20.025,29.673,24.51,21.851,25.369,26.028,24.593,20.012,22.223,25.326,1.2728
26.683,22.417,24.787,26.954,20.743,22.655,26.33,27.688,24.033,24.457,21.712,25.55,20.746,23.065,23.832,20.444,1.2599
